date,ticker,signal,regime,action,confidence,has_news,realized_1d,realized_3d,realized_5d,resolved,correct
2024-10-11,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-0.6244,-1.6208,-1.3315,True,0.0
2024-10-24,TSLA,BREACH_UP,BULL,LONG,,False,3.3438,-0.3686,-4.0809,True,0.0
2024-11-06,TSLA,BREACH_UP,BULL,LONG,,False,2.9044,21.3045,14.456,True,1.0
2024-11-08,TSLA,BREACH_UP,BULL,LONG,,False,8.9596,2.808,-0.1557,True,1.0
2024-11-11,TSLA,BREACH_UP,BULL,LONG,,False,-6.1457,-11.0914,-3.2171,True,0.0
2024-12-16,TSLA,BREACH_UP,BULL,LONG,,False,3.637,-5.7989,-7.0019,True,0.0
2024-12-18,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,0.8997,2.1653,-3.1809,True,1.0
2025-02-25,TSLA,BREACH_DOWN,BULL,IGNORE,,False,3.963,3.2431,10.1585,True,1.0
2025-03-10,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-3.7947,-8.3412,-7.1393,True,0.0
2025-03-24,TSLA,BREACH_UP,BEAR,HOLD,,False,3.5023,-1.8894,-6.9076,True,0.0
2025-04-09,TSLA,BREACH_UP,BEAR,HOLD,,False,-7.2741,-7.2924,-11.2601,True,0.0
2025-06-05,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-3.667,-14.5381,-12.0864,True,0.0
2025-06-23,TSLA,BREACH_UP,BULL,LONG,,False,-2.3546,-6.5676,-8.8964,True,0.0
2025-07-24,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-3.5244,-5.208,-0.9728,True,0.0
2025-08-22,TSLA,BREACH_UP,BULL,LONG,,False,1.9382,2.8205,-1.8058,True,1.0
2025-09-11,TSLA,BREACH_UP,BULL,LONG,,False,7.3561,14.319,13.0257,True,1.0
2025-09-12,TSLA,BREACH_UP,BULL,LONG,,False,3.5611,7.5567,7.6097,True,1.0
2026-04-02,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,2.1548,4.8088,3.228,True,1.0
2026-04-15,TSLA,BREACH_UP,BULL,LONG,,False,-0.7782,0.1403,-1.1328,True,1.0
2021-07-21,TXN,BREACH_UP,UNKNOWN,HOLD,,False,-5.3181,-2.5381,-3.2681,True,0.0
2021-07-22,TXN,BREACH_DOWN,UNKNOWN,IGNORE,,False,-2.1652,-1.2248,-3.7946,True,0.0
2021-09-28,TXN,BREACH_DOWN,BEAR,IGNORE,,False,0.9339,0.5644,0.5182,True,1.0
2021-10-27,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.4116,-0.8149,-1.7398,True,0.0
2021-11-29,TXN,BREACH_UP,BULL,LONG,,False,-1.0341,-0.4116,0.1183,True,0.0
2022-01-07,TXN,BREACH_DOWN,BULL,IGNORE,,False,-1.9617,-3.6725,-4.2187,True,0.0
2022-02-03,TXN,BREACH_DOWN,BEAR,IGNORE,,False,2.3748,1.6857,2.8077,True,1.0
2022-07-27,TXN,BREACH_UP,BULL,LONG,,False,2.4542,4.9188,7.6591,True,1.0
2022-08-17,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.9903,2.9823,2.5579,True,1.0
2022-08-26,TXN,BREACH_DOWN,BULL,IGNORE,,False,0.9145,2.5252,3.8291,True,1.0
2022-09-13,TXN,BREACH_DOWN,BEAR,IGNORE,,False,-1.6047,-1.6047,-2.0965,True,0.0
2022-10-07,TXN,BREACH_DOWN,BEAR,IGNORE,,False,1.5633,4.8531,6.8684,True,1.0
2022-11-10,TXN,BREACH_UP,BULL,LONG,,False,2.7477,1.6486,0.3835,True,1.0
2022-11-30,TXN,BREACH_UP,BULL,LONG,,False,-1.6402,-1.7012,-3.7183,True,0.0
2023-01-06,TXN,BREACH_UP,BULL,LONG,,False,0.8678,2.1181,2.198,True,1.0
2023-04-25,TXN,BREACH_DOWN,BULL,IGNORE,,False,2.9104,1.2929,3.2174,True,1.0
2023-05-26,TXN,BREACH_UP,BULL,LONG,,False,0.1475,-0.2723,-3.4205,True,0.0
2023-06-27,TXN,BREACH_UP,BULL,LONG,,False,-0.7657,2.1043,0.1248,True,1.0
2023-07-10,TXN,BREACH_UP,BULL,LONG,,False,-0.3455,2.0508,2.2069,True,1.0
2023-07-26,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.9773,-2.9913,1.3343,True,0.0
2023-10-25,TXN,BREACH_DOWN,BEAR,IGNORE,,False,-1.5657,0.0015,-1.8989,True,1.0
2023-12-14,TXN,BREACH_UP,BULL,LONG,,False,-0.0829,-0.1659,-1.1672,True,0.0
2024-01-19,TXN,BREACH_UP,BULL,LONG,,False,0.6795,-2.0616,-5.5053,True,0.0
2024-02-29,TXN,BREACH_UP,BULL,LONG,,False,2.2231,1.9781,4.7451,True,1.0
2024-04-24,TXN,BREACH_UP,BEAR,HOLD,,False,0.2517,2.5628,0.2231,True,1.0
